Data,Atividade,Horas Totais
2024-12-02,Configurações e funções genéricas,4.5
2024-12-03,Configurações e funções genéricas,4.5
2024-12-03,Modo claro/escuro,4.5
2024-12-04,Modo claro/escuro,7.0
2024-12-05,Prévia para compartilhamento,2.5
2024-12-05,TideSat-Estrela,2.5
2024-12-05,Zoom restrito,3.0
2024-12-09,Segregar exibição,5.0
2024-12-09,Configurações e funções genéricas,3.0
2024-12-10,Segregar exibição,3.0
2024-12-11,Segregar exibição,5.5
2024-12-12,Cotas notáveis,2.0
2024-12-12,Fotos e mapa,2.5
2024-12-14,Configurações e funções genéricas,4.0
2024-12-14,Fotos e mapa,2.0
2024-12-14,Cotas notáveis,2.5
2024-12-15,Configurações e funções genéricas,3.0
2024-12-16,Configurações e funções genéricas,4.5
2024-12-17,Configurações e funções genéricas,3.5
2024-12-17,Fotos e mapa,5.0
2024-12-18,Configurações e funções genéricas,4.0
